@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
204,'2020/10/23 21:43:24:541',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
205,'2020/10/23 21:43:24:558',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
206,'2020/10/23 21:43:24:574',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
207,'2020/10/23 21:43:24:591',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
208,'2020/10/23 21:43:24:608',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
209,'2020/10/23 21:43:24:624',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
210,'2020/10/23 21:43:24:641',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
211,'2020/10/23 21:43:24:658',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
212,'2020/10/23 21:43:24:674',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
213,'2020/10/23 21:43:24:691',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
214,'2020/10/23 21:43:24:708',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
215,'2020/10/23 21:43:24:725',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
216,'2020/10/23 21:43:24:741',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
217,'2020/10/23 21:43:24:758',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
218,'2020/10/23 21:43:24:774',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
219,'2020/10/23 21:43:24:791',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
220,'2020/10/23 21:43:24:807',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
221,'2020/10/23 21:43:24:823',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
222,'2020/10/23 21:43:24:840',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
223,'2020/10/23 21:43:24:857',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
224,'2020/10/23 21:43:24:873',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
225,'2020/10/23 21:43:24:890',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
226,'2020/10/23 21:43:24:907',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
227,'2020/10/23 21:43:24:923',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
228,'2020/10/23 21:43:24:940',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
229,'2020/10/23 21:43:24:957',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
230,'2020/10/23 21:43:24:973',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
231,'2020/10/23 21:43:24:990',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
232,'2020/10/23 21:43:25:007',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
233,'2020/10/23 21:43:25:023',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
234,'2020/10/23 21:43:25:040',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
235,'2020/10/23 21:43:25:057',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
236,'2020/10/23 21:43:25:074',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
237,'2020/10/23 21:43:25:091',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
238,'2020/10/23 21:43:25:107',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
239,'2020/10/23 21:43:25:124',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
240,'2020/10/23 21:43:25:140',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
241,'2020/10/23 21:43:25:157',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
242,'2020/10/23 21:43:25:173',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
243,'2020/10/23 21:43:25:190',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
244,'2020/10/23 21:43:25:207',3,-0.110803,-0.565097,0.065077,0.439171,0.169478
